Student_ID,Attendance,Internal_Marks,Previous_CGPA,Assignment_Score,Assignment_Submission,Study_Hours,Backlogs,Sleep_Hours,Previous_Failures,Risk_Category,Risk_Label
STU0001,58.3,68.0,4.04,60.2,54.0,1.3,0,8.4,0,1,Medium Risk
STU0002,54.2,27.6,4.08,84.6,80.5,1.4,1,6.5,0,1,Medium Risk
STU0003,65.5,54.8,3.36,63.4,90.7,4.7,0,7.0,1,1,Medium Risk
STU0004,65.6,69.4,4.33,34.6,85.3,5.1,5,7.5,3,2,High Risk
STU0005,59.3,54.0,7.3,62.4,22.8,5.1,0,4.8,2,1,Medium Risk
STU0006,47.9,67.8,5.55,54.4,76.2,3.7,1,8.9,0,2,High Risk
STU0007,67.4,45.7,4.87,73.7,77.5,4.6,0,3.3,4,1,Medium Risk
STU0008,91.6,46.6,6.42,40.8,86.9,4.3,5,5.4,0,1,Medium Risk
STU0009,77.7,91.4,5.27,51.0,85.5,3.2,3,8.0,0,0,Low Risk
STU0010,77.2,68.1,8.12,31.8,80.0,3.9,0,4.9,0,1,Medium Risk
STU0011,100.0,81.5,5.79,17.7,93.4,3.3,3,6.1,3,1,Medium Risk
STU0012,71.5,81.2,4.94,49.7,78.0,4.1,0,7.3,3,1,Medium Risk
STU0013,64.6,82.8,5.31,86.0,63.9,4.0,1,6.9,0,0,Low Risk
STU0014,72.9,64.0,8.81,54.6,100.0,2.7,0,8.3,0,0,Low Risk
STU0015,79.4,62.4,7.46,73.1,100.0,2.5,5,7.5,0,1,Medium Risk
STU0016,83.0,85.4,2.02,48.1,72.5,1.0,0,10.3,0,2,High Risk
STU0017,4.5,40.5,6.03,55.7,86.7,5.5,4,6.4,0,2,High Risk
STU0018,69.6,71.8,8.35,65.5,40.1,2.3,0,5.5,0,1,Medium Risk
STU0019,50.3,30.5,7.82,27.4,71.1,2.3,1,6.4,0,2,High Risk
STU0020,85.8,89.0,5.93,57.5,67.5,1.0,1,9.4,0,0,Low Risk
STU0021,61.6,41.1,6.78,42.6,97.1,1.8,0,9.4,0,1,Medium Risk
STU0022,70.1,82.4,2.7,28.1,92.9,3.3,0,5.8,0,1,Medium Risk
STU0023,50.6,60.3,8.27,79.7,92.6,1.2,2,6.9,0,1,Medium Risk
STU0024,46.0,68.2,5.27,12.5,98.2,2.3,0,8.2,0,1,Medium Risk
STU0025,48.1,71.8,8.78,60.2,88.5,5.6,3,7.0,0,1,Medium Risk
STU0026,39.1,84.6,9.58,76.7,35.0,2.1,0,5.5,0,1,Medium Risk
STU0027,62.0,66.3,7.69,60.5,100.0,3.1,0,7.1,0,1,Medium Risk
STU0028,77.0,53.3,6.41,80.5,96.0,3.1,1,5.1,3,1,Medium Risk
STU0029,79.9,41.9,6.15,64.5,82.5,3.8,1,4.1,0,1,Medium Risk
STU0030,42.1,73.7,5.97,69.1,77.2,1.2,1,7.7,0,1,Medium Risk
STU0031,96.2,62.4,3.61,73.2,95.6,5.7,0,8.4,0,0,Low Risk
STU0032,66.5,22.0,4.48,27.9,97.6,1.7,2,9.0,0,2,High Risk
STU0033,39.4,54.0,7.77,46.2,14.5,5.6,1,5.9,0,1,Medium Risk
STU0034,78.5,60.0,7.64,78.2,49.2,4.9,0,6.7,1,1,Medium Risk
STU0035,38.0,72.5,7.24,65.4,78.0,2.7,2,5.6,0,1,Medium Risk
STU0036,86.7,44.9,4.41,67.4,91.7,0.5,1,7.0,0,1,Medium Risk
STU0037,82.9,38.1,6.02,40.0,60.9,2.9,2,5.4,0,1,Medium Risk
STU0038,68.4,53.0,4.12,74.7,95.8,2.1,4,10.1,0,1,Medium Risk
STU0039,67.7,76.3,7.72,29.1,15.6,6.1,3,6.0,0,1,Medium Risk
STU0040,93.8,31.1,6.44,57.0,80.6,1.5,1,8.2,0,0,Low Risk
STU0041,55.6,45.7,4.39,60.1,29.4,4.5,1,5.9,0,2,High Risk
STU0042,67.9,79.8,6.3,91.0,90.8,1.2,3,8.5,1,1,Medium Risk
STU0043,64.5,66.8,3.17,79.1,92.2,2.5,0,8.1,1,1,Medium Risk
STU0044,87.7,81.1,5.88,85.5,56.8,1.7,1,8.6,0,0,Low Risk
STU0045,58.7,68.6,8.99,82.1,71.1,2.4,3,6.0,2,1,Medium Risk
STU0046,94.1,24.2,7.13,71.0,87.1,0.8,2,5.6,0,1,Medium Risk
STU0047,78.4,24.8,7.16,52.8,71.9,0.9,0,6.0,3,2,High Risk
STU0048,79.6,74.8,6.19,46.5,49.8,2.1,1,7.1,1,1,Medium Risk
STU0049,40.4,63.0,3.6,44.9,94.8,3.0,0,6.9,0,1,Medium Risk
STU0050,62.9,87.8,3.31,69.3,79.5,1.2,0,6.4,0,1,Medium Risk
STU0051,53.7,57.5,7.67,71.2,73.6,3.9,0,7.5,1,1,Medium Risk
STU0052,76.1,87.1,7.19,28.7,54.5,3.7,5,7.2,1,1,Medium Risk
STU0053,92.8,85.0,6.26,64.6,78.3,1.2,0,6.1,1,1,Medium Risk
STU0054,67.4,60.6,5.63,29.4,81.4,0.8,1,5.5,0,1,Medium Risk
STU0055,61.5,29.3,8.7,74.3,88.6,2.8,0,6.5,1,1,Medium Risk
STU0056,45.3,89.5,8.41,89.7,95.1,4.2,0,7.8,2,0,Low Risk
STU0057,76.1,73.3,7.43,48.0,77.0,2.1,2,6.6,0,1,Medium Risk
STU0058,87.2,60.2,6.15,72.2,42.3,1.5,0,8.7,1,1,Medium Risk
STU0059,39.5,52.4,4.47,64.3,100.0,3.1,0,5.9,2,1,Medium Risk
STU0060,57.7,64.6,3.14,42.5,64.0,4.3,2,4.5,2,2,High Risk
STU0061,77.6,29.4,7.37,70.4,71.0,4.6,1,6.9,0,1,Medium Risk
STU0062,52.4,37.8,7.84,82.1,49.4,6.0,1,6.1,3,1,Medium Risk
STU0063,43.8,68.1,9.1,43.3,57.2,3.6,2,7.6,0,1,Medium Risk
STU0064,66.5,27.6,6.21,83.1,36.9,5.0,0,8.5,0,1,Medium Risk
STU0065,89.0,72.8,7.06,29.1,89.6,2.8,1,5.0,0,0,Low Risk
STU0066,83.8,83.5,3.82,54.4,92.6,4.3,0,7.8,1,0,Low Risk
STU0067,75.1,35.6,8.84,59.3,92.8,3.6,1,6.4,0,1,Medium Risk
STU0068,83.3,51.1,8.38,75.5,81.7,2.2,0,9.9,0,0,Low Risk
STU0069,87.6,82.2,8.43,26.6,58.2,1.5,1,6.4,0,0,Low Risk
STU0070,80.4,67.7,8.87,62.3,97.0,2.7,0,4.7,1,0,Low Risk
STU0071,72.2,53.6,6.86,71.5,72.8,0.7,0,9.3,0,0,Low Risk
STU0072,49.6,72.8,6.0,75.5,100.0,0.6,1,6.4,0,1,Medium Risk
STU0073,48.3,77.9,6.58,49.4,94.4,1.5,1,7.2,0,1,Medium Risk
STU0074,61.2,70.0,3.04,25.3,87.0,0.3,0,8.4,0,1,Medium Risk
STU0075,67.0,40.2,6.32,81.5,31.4,3.0,1,6.1,0,1,Medium Risk
STU0076,89.7,97.4,5.11,76.1,94.2,2.7,0,6.7,0,0,Low Risk
STU0077,30.4,30.5,5.09,52.7,50.7,2.1,2,6.3,1,2,High Risk
STU0078,90.7,76.5,8.58,84.1,94.4,0.7,0,6.5,0,0,Low Risk
STU0079,97.3,85.2,7.73,86.2,76.8,1.4,3,12.0,0,1,Medium Risk
STU0080,72.1,58.0,6.52,46.2,95.5,3.6,0,8.3,0,1,Medium Risk
STU0081,81.0,70.6,4.41,72.3,71.6,3.4,0,5.8,0,1,Medium Risk
STU0082,80.4,21.3,6.93,49.9,71.1,0.0,0,8.1,1,2,High Risk
STU0083,83.9,42.6,5.82,76.0,85.3,4.4,2,7.9,0,1,Medium Risk
STU0084,48.7,49.5,8.81,84.0,99.5,2.2,0,7.6,0,0,Low Risk
STU0085,64.4,84.3,6.32,54.8,44.6,2.7,2,9.4,2,1,Medium Risk
STU0086,77.4,84.5,6.33,64.8,87.9,2.4,0,6.8,0,0,Low Risk
STU0087,80.1,63.1,6.37,41.3,82.9,3.4,0,4.7,0,1,Medium Risk
STU0088,54.5,52.5,6.65,76.2,52.9,2.4,0,6.5,1,1,Medium Risk
STU0089,85.6,65.8,3.0,61.9,57.2,3.9,3,6.6,1,1,Medium Risk
STU0090,73.6,81.7,3.8,18.8,62.6,4.1,1,9.1,1,1,Medium Risk
STU0091,72.8,63.6,8.29,90.3,100.0,6.0,0,4.1,0,0,Low Risk
STU0092,85.1,44.3,4.65,34.2,87.7,0.4,2,7.5,1,1,Medium Risk
STU0093,13.2,78.4,8.37,76.9,29.5,2.8,1,9.0,0,1,Medium Risk
STU0094,87.9,72.6,7.95,75.8,34.8,2.0,2,7.2,1,1,Medium Risk
STU0095,62.1,73.3,8.17,56.6,96.0,1.5,0,6.5,0,1,Medium Risk
STU0096,78.5,51.8,6.79,78.4,74.0,3.8,1,7.1,0,1,Medium Risk
STU0097,53.0,78.3,7.02,34.2,66.3,3.4,0,6.9,1,1,Medium Risk
STU0098,34.2,70.2,5.1,83.2,99.6,3.1,3,8.8,3,1,Medium Risk
STU0099,81.7,86.9,8.24,65.9,83.2,1.5,1,7.0,2,0,Low Risk
STU0100,95.1,65.6,3.55,77.1,81.9,3.9,5,4.5,0,1,Medium Risk
STU0101,52.6,67.7,9.25,29.0,34.0,3.6,3,8.9,1,1,Medium Risk
STU0102,60.5,58.0,6.99,52.9,57.2,2.2,0,8.3,1,1,Medium Risk
STU0103,60.6,47.0,7.28,89.5,41.9,2.0,1,8.4,2,1,Medium Risk
STU0104,72.9,85.3,5.97,64.6,85.3,2.5,4,8.1,0,1,Medium Risk
STU0105,85.5,28.7,9.18,70.4,87.7,2.2,0,8.5,4,0,Low Risk
STU0106,63.3,64.7,2.08,51.1,87.8,3.3,0,8.1,0,1,Medium Risk
STU0107,70.8,27.9,7.55,68.9,92.1,2.5,1,7.5,0,1,Medium Risk
STU0108,71.5,11.4,7.28,67.7,86.7,2.7,0,6.5,1,1,Medium Risk
STU0109,77.9,84.0,3.01,25.9,0.0,1.4,0,8.7,0,1,Medium Risk
STU0110,26.5,55.7,8.38,46.7,63.7,2.2,3,6.4,0,1,Medium Risk
STU0111,69.7,52.2,7.83,57.6,84.5,1.2,0,6.3,1,1,Medium Risk
STU0112,77.6,31.2,5.8,52.8,68.1,1.6,2,8.9,0,1,Medium Risk
STU0113,57.6,74.1,6.22,37.1,65.1,4.4,1,6.9,0,1,Medium Risk
STU0114,84.4,53.3,7.51,78.3,92.0,4.3,1,8.4,0,0,Low Risk
STU0115,84.7,60.8,9.69,65.5,63.4,4.4,1,4.3,2,1,Medium Risk
STU0116,80.2,61.7,9.36,27.9,82.2,5.3,0,7.1,4,1,Medium Risk
STU0117,85.9,68.1,8.33,80.7,67.0,1.0,2,3.7,0,1,Medium Risk
STU0118,83.1,58.3,4.53,51.0,54.0,0.7,0,7.3,0,0,Low Risk
